#################################<By NPCg 0.5>#################################

#1: Stronghold
   Amile Wincheen (F 33) Human [8] Generous, empathetic
   Myaleeman Bhalkyl (F 150) Dwarf [16] Greedy, self-centered
   Dur Bhalkyl (M 56) Dwarf [9] Friendly, service minded
   Tovlireve Bhalkyl (F 12) Dwarf [10] Generous, empathetic

#98: Farm: Open 5/7 07-16
   Brinslie Woon (F 22) Human [7] Conservative, structured
   Jare Woon (M 63) Human [9] Friendly, service minded

#99: Farm: Open 6/7 09-17
   Manna Rossimson (F 55) Human [12] Friendly, service minded
   Raylinsly Rossimson (F 71) Human [10] Greedy, self-centered
   Emirey Rossimson (F 62) Human [7] Conservative, structured
   Cober Rossimson (M 21) Human [6] Conservative, structured
   Maxim Rossimson (M 4) Human [5] Generous, empathetic
   Aliangel Rossimson (M 15) Human [7] Friendly, service minded

#100: Farm: Open 5/7 07-17
   Trin Whelliami (M 34) Human [5] Conservative, structured
   Ezelvanei Whelliami (M 62) Human [10] Generous, empathetic
   Iscarlord Whelliami (M 72) Human [12] Greedy, self-centered

###############################################################################

